organization_id,name,organization_type,address,city,state,registration_id,status,case_id
O0001,Sunrise Trading Co,Construction,"904, College Road, Coimbatore",Coimbatore,Tamil Nadu,REG8082717605,Active,C0001
O0002,Cobalt Services LLP,Trading,"740, Park Street, Thane",Thane,Maharashtra,REG1773014180,Active,C0003
O0003,Greenfield Industries Pvt Ltd,Retail,"349, Airport Road, Bengaluru",Bengaluru,Karnataka,REG7594157237,Active,C0005
O0004,Oakridge Logistics Pvt Ltd,Manufacturing,"868, Nehru Nagar, Pune",Pune,Maharashtra,REG1091034830,Active,C0007
O0005,Pioneer Solutions Pvt Ltd,Trading,"260, Station Road, Chennai",Chennai,Tamil Nadu,REG0563957576,Active,C0008
O0006,Maple Solutions Pvt Ltd,Transport,"251, Park Street, Kochi",Kochi,Kerala,REG2253568835,Active,C0011
O0007,Silverline Trading Co,Technology,"61, Shivaji Nagar, Lucknow",Lucknow,Uttar Pradesh,REG9104933114,Active,C0012
O0008,Blue Horizon Trading Co,Manufacturing,"928, Airport Road, Kochi",Kochi,Kerala,REG4385205772,Active,C0014
O0009,Vertex Industries Pvt Ltd,Transport,"126, Ring Road, Bengaluru",Bengaluru,Karnataka,REG0286488366,Inactive,C0015
O0010,Greenfield Infrastructure Pvt Ltd,Logistics,"343, College Road, Lucknow",Lucknow,Uttar Pradesh,REG6437798438,Active,C0018
O0011,Oakridge Industries Pvt Ltd,Transport,"509, Shivaji Nagar, Delhi",Delhi,Delhi,REG5119737781,Active,C0023
O0012,Cobalt Infrastructure Pvt Ltd,Manufacturing,"787, Lake View Road, Bhopal",Bhopal,Madhya Pradesh,REG5898069449,Active,C0024
O0013,Blue Horizon Services LLP,Import/Export,"482, Station Road, Chennai",Chennai,Tamil Nadu,REG6078316271,Active,C0025
O0014,Maple Industries Pvt Ltd,Retail,"375, Nehru Nagar, Surat",Surat,Gujarat,REG0861836187,Active,C0027
O0015,Crescent Solutions Pvt Ltd,Technology,"395, MG Road, Lucknow",Lucknow,Uttar Pradesh,REG7440823398,Active,C0028
O0016,Riverstone Logistics Pvt Ltd,Manufacturing,"129, College Road, Ahmedabad",Ahmedabad,Gujarat,REG4050349595,Active,C0029
O0017,Vertex Industries Pvt Ltd,Consulting,"690, Airport Road, Chennai",Chennai,Tamil Nadu,REG0264443222,Active,C0031
O0018,Cobalt Trading Co,Retail,"34, Park Street, Surat",Surat,Gujarat,REG3677496920,Inactive,C0033
O0019,Greenfield Logistics Pvt Ltd,Construction,"397, Airport Road, Jaipur",Jaipur,Rajasthan,REG3518359156,Active,C0035
O0020,Riverstone Solutions Pvt Ltd,Consulting,"690, Park Street, Noida",Noida,Uttar Pradesh,REG0034335509,Active,C0036
O0021,Blue Horizon Services LLP,Construction,"399, Market Road, Delhi",Delhi,Delhi,REG5014631160,Active,C0037
O0022,Silverline Infrastructure Pvt Ltd,Transport,"778, Park Street, Kolkata",Kolkata,West Bengal,REG7782223296,Inactive,C0039
O0023,Oakridge Industries Pvt Ltd,Transport,"461, Nehru Nagar, Coimbatore",Coimbatore,Tamil Nadu,REG5888703461,Active,C0040
O0024,Riverstone Logistics Pvt Ltd,Manufacturing,"971, Lake View Road, Chennai",Chennai,Tamil Nadu,REG5488661860,Active,C0041
O0025,Crescent Solutions Pvt Ltd,Trading,"38, Market Road, Kolkata",Kolkata,West Bengal,REG0808195889,Active,C0044
O0026,Crescent Infrastructure Pvt Ltd,Real Estate,"633, MG Road, Kochi",Kochi,Kerala,REG7239699976,Active,C0045
O0027,Maple Solutions Pvt Ltd,Transport,"868, Ring Road, Chennai",Chennai,Tamil Nadu,REG3134145352,Active,C0046
O0028,Riverstone Logistics Pvt Ltd,Finance,"166, Ring Road, Coimbatore",Coimbatore,Tamil Nadu,REG3847015603,Active,C0048
O0029,Pioneer Services LLP,Manufacturing,"491, Market Road, Noida",Noida,Uttar Pradesh,REG0431896160,Inactive,C0051
O0030,Cobalt Solutions Pvt Ltd,Trading,"821, Park Street, Bhopal",Bhopal,Madhya Pradesh,REG3801163135,Active,C0053
O0031,Cobalt Trading Co,Construction,"488, Ring Road, Nagpur",Nagpur,Maharashtra,REG4127840322,Active,C0055
O0032,Silverline Industries Pvt Ltd,Trading,"844, MG Road, Thane",Thane,Maharashtra,REG7568867923,Active,C0056
O0033,Riverstone Solutions Pvt Ltd,Services,"863, Market Road, Delhi",Delhi,Delhi,REG2697114323,Active,C0058
O0034,Greenfield Consultants LLP,Trading,"671, Ring Road, Chennai",Chennai,Tamil Nadu,REG3670295933,Active,C0059
O0035,Cobalt Solutions Pvt Ltd,Logistics,"334, Ring Road, Ahmedabad",Ahmedabad,Gujarat,REG5890087826,Active,C0062
O0036,Greenfield Industries Pvt Ltd,Import/Export,"693, Station Road, Coimbatore",Coimbatore,Tamil Nadu,REG9498384470,Active,C0063
O0037,Oakridge Solutions Pvt Ltd,Manufacturing,"152, MG Road, Delhi",Delhi,Delhi,REG0211054988,Active,C0065
O0038,Maple Trading Co,Technology,"456, Nehru Nagar, Lucknow",Lucknow,Uttar Pradesh,REG9918599807,Active,C0066
O0039,Pioneer Services LLP,Technology,"846, Airport Road, Bengaluru",Bengaluru,Karnataka,REG9551834062,Active,C0067
O0040,Sunrise Infrastructure Pvt Ltd,Consulting,"306, Airport Road, Hyderabad",Hyderabad,Telangana,REG8691389488,Active,C0070
O0041,Crescent Consultants LLP,Technology,"328, Ring Road, Mumbai",Mumbai,Maharashtra,REG7781542697,Inactive,C0071
O0042,Greenfield Trading Co,Logistics,"138, Park Street, Indore",Indore,Madhya Pradesh,REG8362587180,Active,C0072
O0043,Blue Horizon Industries Pvt Ltd,Logistics,"726, Shivaji Nagar, Chennai",Chennai,Tamil Nadu,REG2353542717,Active,C0073
O0044,Silverline Consultants LLP,Services,"218, Shivaji Nagar, Gurugram",Gurugram,Haryana,REG7477906655,Active,C0076
O0045,Northstar Solutions Pvt Ltd,Consulting,"141, Station Road, Mumbai",Mumbai,Maharashtra,REG1983911265,Active,C0077
O0046,Vertex Trading Co,Construction,"118, MG Road, Kolkata",Kolkata,West Bengal,REG7441605165,Active,C0078
O0047,Crescent Consultants LLP,Technology,"966, College Road, Indore",Indore,Madhya Pradesh,REG2725050570,Active,C0081
O0048,Cobalt Industries Pvt Ltd,Construction,"803, Nehru Nagar, Bengaluru",Bengaluru,Karnataka,REG8538225868,Active,C0083
O0049,Greenfield Solutions Pvt Ltd,Construction,"934, Shivaji Nagar, Chennai",Chennai,Tamil Nadu,REG2364188923,Active,C0085
O0050,Pioneer Solutions Pvt Ltd,Finance,"889, Shivaji Nagar, Pune",Pune,Maharashtra,REG0638462313,Inactive,C0088
O0051,Greenfield Solutions Pvt Ltd,Construction,"383, Station Road, Coimbatore",Coimbatore,Tamil Nadu,REG0519793798,Active,C0089
O0052,Oakridge Solutions Pvt Ltd,Retail,"71, Station Road, Gurugram",Gurugram,Haryana,REG4728053699,Active,C0090
O0053,Crescent Infrastructure Pvt Ltd,Logistics,"900, Airport Road, Noida",Noida,Uttar Pradesh,REG3327777531,Active,C0093
O0054,Cobalt Logistics Pvt Ltd,Construction,"394, Ring Road, Nagpur",Nagpur,Maharashtra,REG3465396695,Active,C0094
O0055,Riverstone Solutions Pvt Ltd,Consulting,"860, Market Road, Pune",Pune,Maharashtra,REG2449097177,Active,C0095
O0056,Blue Horizon Solutions Pvt Ltd,Manufacturing,"807, Lake View Road, Nashik",Nashik,Maharashtra,REG4459516680,Active,C0096
O0057,Sunrise Logistics Pvt Ltd,Technology,"735, Park Street, Lucknow",Lucknow,Uttar Pradesh,REG4301053010,Active,C0097
O0058,Northstar Solutions Pvt Ltd,Logistics,"213, College Road, Indore",Indore,Madhya Pradesh,REG4632763011,Inactive,C0098
O0059,Northstar Industries Pvt Ltd,Retail,"228, College Road, Bhopal",Bhopal,Madhya Pradesh,REG2150920255,Active,C0099
O0060,Northstar Services LLP,Trading,"828, Park Street, Thane",Thane,Maharashtra,REG5878279691,Active,C0101
O0061,Northstar Trading Co,Construction,"250, Lake View Road, Indore",Indore,Madhya Pradesh,REG3524471934,Active,C0103
O0062,Northstar Services LLP,Construction,"47, Lake View Road, Bengaluru",Bengaluru,Karnataka,REG5375584193,Active,C0108
O0063,Sunrise Solutions Pvt Ltd,Transport,"164, Airport Road, Nagpur",Nagpur,Maharashtra,REG2386705058,Active,C0109
O0064,Blue Horizon Logistics Pvt Ltd,Finance,"410, Ring Road, Chennai",Chennai,Tamil Nadu,REG4413030098,Active,C0112
O0065,Riverstone Trading Co,Retail,"699, Shivaji Nagar, Jaipur",Jaipur,Rajasthan,REG9548864790,Active,C0113
O0066,Pioneer Solutions Pvt Ltd,Manufacturing,"575, MG Road, Bengaluru",Bengaluru,Karnataka,REG2308329878,Active,C0114
O0067,Vertex Infrastructure Pvt Ltd,Construction,"47, Airport Road, Lucknow",Lucknow,Uttar Pradesh,REG5652414814,Active,C0115
O0068,Silverline Infrastructure Pvt Ltd,Construction,"695, Park Street, Mumbai",Mumbai,Maharashtra,REG8619851710,Active,C0116
O0069,Greenfield Consultants LLP,Consulting,"353, MG Road, Surat",Surat,Gujarat,REG0176296543,Active,C0117
O0070,Cobalt Solutions Pvt Ltd,Finance,"239, Market Road, Nagpur",Nagpur,Maharashtra,REG0877903496,Active,C0119
O0071,Vertex Industries Pvt Ltd,Finance,"42, Market Road, Pune",Pune,Maharashtra,REG6534661119,Active,C0120
O0072,Maple Consultants LLP,Retail,"65, Park Street, Surat",Surat,Gujarat,REG7644640142,Inactive,C0122
O0073,Oakridge Solutions Pvt Ltd,Transport,"208, MG Road, Ahmedabad",Ahmedabad,Gujarat,REG6196193140,Active,C0124
