truth_id,source_entity,relationship,target_entity,is_true,synthetic_flag
TRUTH-000001,PERSON-001589,SUSPECT_IN,CASE-000001,true,true
TRUTH-000002,PERSON-000193,SUSPECT_IN,CASE-000001,true,true
TRUTH-000003,PERSON-001667,OBSERVED_IN,CASE-000001,true,true
TRUTH-000004,PERSON-001670,OBSERVED_IN,CASE-000001,true,true
TRUTH-000005,PERSON-002397,SUSPECT_IN,CASE-000002,true,true
TRUTH-000006,PERSON-002304,SUSPECT_IN,CASE-000002,true,true
TRUTH-000007,PERSON-001941,SUSPECT_IN,CASE-000002,true,true
TRUTH-000008,PERSON-001578,OBSERVED_IN,CASE-000002,true,true
TRUTH-000009,PERSON-000245,OBSERVED_IN,CASE-000002,true,true
TRUTH-000010,PERSON-001847,OBSERVED_IN,CASE-000002,true,true
TRUTH-000011,PERSON-000484,SUSPECT_IN,CASE-000003,true,true
TRUTH-000012,PERSON-001803,SUSPECT_IN,CASE-000003,true,true
TRUTH-000013,PERSON-001431,SUSPECT_IN,CASE-000003,true,true
TRUTH-000014,PERSON-000862,SUSPECT_IN,CASE-000003,true,true
TRUTH-000015,PERSON-000599,SUSPECT_IN,CASE-000003,true,true
TRUTH-000016,PERSON-002106,OBSERVED_IN,CASE-000003,true,true
TRUTH-000017,PERSON-000838,OBSERVED_IN,CASE-000003,true,true
TRUTH-000018,PERSON-001701,OBSERVED_IN,CASE-000003,true,true
TRUTH-000019,PERSON-001648,SUSPECT_IN,CASE-000004,true,true
TRUTH-000020,PERSON-000341,SUSPECT_IN,CASE-000004,true,true
TRUTH-000021,PERSON-002900,SUSPECT_IN,CASE-000004,true,true
TRUTH-000022,PERSON-000342,SUSPECT_IN,CASE-000004,true,true
TRUTH-000023,PERSON-002246,OBSERVED_IN,CASE-000004,true,true
TRUTH-000024,PERSON-001262,OBSERVED_IN,CASE-000004,true,true
TRUTH-000025,PERSON-002964,SUSPECT_IN,CASE-000005,true,true
TRUTH-000026,PERSON-002609,SUSPECT_IN,CASE-000005,true,true
TRUTH-000027,PERSON-000217,OBSERVED_IN,CASE-000005,true,true
TRUTH-000028,PERSON-000906,OBSERVED_IN,CASE-000005,true,true
TRUTH-000029,PERSON-001768,OBSERVED_IN,CASE-000005,true,true
TRUTH-000030,PERSON-002082,SUSPECT_IN,CASE-000006,true,true
TRUTH-000031,PERSON-002999,SUSPECT_IN,CASE-000006,true,true
TRUTH-000032,PERSON-000492,OBSERVED_IN,CASE-000006,true,true
TRUTH-000033,PERSON-001059,OBSERVED_IN,CASE-000006,true,true
TRUTH-000034,PERSON-000920,OBSERVED_IN,CASE-000006,true,true
TRUTH-000035,PERSON-000144,OBSERVED_IN,CASE-000006,true,true
TRUTH-000036,PERSON-001830,OBSERVED_IN,CASE-000006,true,true
TRUTH-000037,PERSON-001880,SUSPECT_IN,CASE-000007,true,true
TRUTH-000038,PERSON-002122,SUSPECT_IN,CASE-000007,true,true
TRUTH-000039,PERSON-000302,SUSPECT_IN,CASE-000007,true,true
TRUTH-000040,PERSON-001615,SUSPECT_IN,CASE-000007,true,true
TRUTH-000041,PERSON-001830,SUSPECT_IN,CASE-000007,true,true
TRUTH-000042,PERSON-000001,SUSPECT_IN,CASE-000007,true,true
TRUTH-000043,PERSON-000342,OBSERVED_IN,CASE-000007,true,true
TRUTH-000044,PERSON-000144,OBSERVED_IN,CASE-000007,true,true
TRUTH-000045,PERSON-001536,SUSPECT_IN,CASE-000008,true,true
TRUTH-000046,PERSON-000647,SUSPECT_IN,CASE-000008,true,true
TRUTH-000047,PERSON-000106,SUSPECT_IN,CASE-000008,true,true
TRUTH-000048,PERSON-001788,SUSPECT_IN,CASE-000008,true,true
TRUTH-000049,PERSON-000648,SUSPECT_IN,CASE-000008,true,true
TRUTH-000050,PERSON-001880,SUSPECT_IN,CASE-000008,true,true
TRUTH-000051,PERSON-000895,OBSERVED_IN,CASE-000008,true,true
TRUTH-000052,PERSON-000259,OBSERVED_IN,CASE-000008,true,true
TRUTH-000053,PERSON-000568,OBSERVED_IN,CASE-000008,true,true
TRUTH-000054,PERSON-000898,OBSERVED_IN,CASE-000008,true,true
TRUTH-000055,PERSON-001318,OBSERVED_IN,CASE-000008,true,true
TRUTH-000056,PERSON-000165,SUSPECT_IN,CASE-000009,true,true
TRUTH-000057,PERSON-001807,SUSPECT_IN,CASE-000009,true,true
TRUTH-000058,PERSON-000682,OBSERVED_IN,CASE-000009,true,true
TRUTH-000059,PERSON-002737,OBSERVED_IN,CASE-000009,true,true
TRUTH-000060,PERSON-000473,OBSERVED_IN,CASE-000009,true,true
TRUTH-000061,PERSON-000042,OBSERVED_IN,CASE-000009,true,true
TRUTH-000062,PERSON-000275,OBSERVED_IN,CASE-000009,true,true
TRUTH-000063,PERSON-001481,OBSERVED_IN,CASE-000009,true,true
TRUTH-000064,PERSON-002068,OBSERVED_IN,CASE-000009,true,true
TRUTH-000065,PERSON-000032,OBSERVED_IN,CASE-000009,true,true
TRUTH-000066,PERSON-001474,SUSPECT_IN,CASE-000010,true,true
TRUTH-000067,PERSON-000106,SUSPECT_IN,CASE-000010,true,true
TRUTH-000068,PERSON-002821,OBSERVED_IN,CASE-000010,true,true
TRUTH-000069,PERSON-001115,OBSERVED_IN,CASE-000010,true,true
TRUTH-000070,PERSON-001610,OBSERVED_IN,CASE-000010,true,true
TRUTH-000071,PERSON-000267,OBSERVED_IN,CASE-000010,true,true
TRUTH-000072,PERSON-000792,OBSERVED_IN,CASE-000010,true,true
TRUTH-000073,PERSON-002900,OBSERVED_IN,CASE-000010,true,true
TRUTH-000074,PERSON-002618,OBSERVED_IN,CASE-000010,true,true
TRUTH-000075,PERSON-001705,SUSPECT_IN,CASE-000011,true,true
TRUTH-000076,PERSON-002368,SUSPECT_IN,CASE-000011,true,true
TRUTH-000077,PERSON-000911,SUSPECT_IN,CASE-000011,true,true
TRUTH-000078,PERSON-002639,OBSERVED_IN,CASE-000011,true,true
TRUTH-000079,PERSON-002839,OBSERVED_IN,CASE-000011,true,true
TRUTH-000080,PERSON-000274,OBSERVED_IN,CASE-000011,true,true
TRUTH-000081,PERSON-001610,OBSERVED_IN,CASE-000011,true,true
TRUTH-000082,PERSON-000232,OBSERVED_IN,CASE-000011,true,true
TRUTH-000083,PERSON-001691,OBSERVED_IN,CASE-000011,true,true
TRUTH-000084,PERSON-000842,SUSPECT_IN,CASE-000012,true,true
TRUTH-000085,PERSON-001012,SUSPECT_IN,CASE-000012,true,true
