location_id,name,latitude,longitude,address,city,state,location_type
L0001,East Business Park 1,21.0033,79.0207,"908, College Road, Nagpur",Nagpur,Maharashtra,Warehouse
L0002,North Industrial Estate 2,21.1988,79.2059,"147, Nehru Nagar, Nagpur",Nagpur,Maharashtra,Office
L0003,West Industrial Estate 3,23.1194,77.2907,"49, Ring Road, Bhopal",Bhopal,Madhya Pradesh,Warehouse
L0004,Central Office Centre 4,10.8748,76.8655,"890, Lake View Road, Coimbatore",Coimbatore,Tamil Nadu,Hotel
L0005,West Transit Hub 5,23.176,77.4394,"472, Lake View Road, Bhopal",Bhopal,Madhya Pradesh,Crime Scene
L0006,East Transit Hub 6,13.031,77.5467,"582, Station Road, Bengaluru",Bengaluru,Karnataka,Meeting Point
L0007,East Transit Hub 7,21.0509,72.7951,"314, Ring Road, Surat",Surat,Gujarat,Commercial Area
L0008,North Business Park 8,10.9462,76.8188,"672, Market Road, Coimbatore",Coimbatore,Tamil Nadu,Parking Area
L0009,East Office Centre 9,21.2877,79.0518,"862, Airport Road, Nagpur",Nagpur,Maharashtra,Transport Hub
L0010,North Transit Hub 10,11.1324,76.9143,"49, Nehru Nagar, Coimbatore",Coimbatore,Tamil Nadu,Warehouse
L0011,South Business Park 11,18.5688,73.9386,"220, Market Road, Pune",Pune,Maharashtra,Office
L0012,West Business Park 12,21.1098,79.0742,"781, Shivaji Nagar, Nagpur",Nagpur,Maharashtra,Storage Facility
L0013,North Business Park 13,12.9327,77.5075,"104, Airport Road, Bengaluru",Bengaluru,Karnataka,Bank
L0014,East Business Park 14,11.0573,76.966,"39, Airport Road, Coimbatore",Coimbatore,Tamil Nadu,Warehouse
L0015,East Office Centre 15,22.5364,88.5108,"554, MG Road, Kolkata",Kolkata,West Bengal,Hotel
L0016,Central Market Complex 16,13.1381,80.3736,"938, Ring Road, Chennai",Chennai,Tamil Nadu,Crime Scene
L0017,South Transit Hub 17,13.1792,80.3622,"196, College Road, Chennai",Chennai,Tamil Nadu,Industrial Area
L0018,North Industrial Estate 18,19.9108,73.9227,"248, Nehru Nagar, Nashik",Nashik,Maharashtra,Cyber Activity Location
L0019,South Transit Hub 19,17.4316,78.4554,"448, Shivaji Nagar, Hyderabad",Hyderabad,Telangana,Cyber Activity Location
L0020,Central Office Centre 20,19.1478,72.9021,"410, Park Street, Thane",Thane,Maharashtra,Transport Hub
L0021,North Transit Hub 21,28.7782,77.081,"445, Shivaji Nagar, Delhi",Delhi,Delhi,Road
L0022,Central Transit Hub 22,26.8282,75.9366,"64, Airport Road, Jaipur",Jaipur,Rajasthan,Transport Hub
L0023,Central Office Centre 23,20.0742,73.8981,"166, Shivaji Nagar, Nashik",Nashik,Maharashtra,Meeting Point
L0024,East Market Complex 24,23.2888,77.378,"677, Nehru Nagar, Bhopal",Bhopal,Madhya Pradesh,Road
L0025,West Transit Hub 25,28.4609,77.407,"500, Market Road, Noida",Noida,Uttar Pradesh,Residence
L0026,West Business Park 26,28.5348,77.1072,"987, Lake View Road, Gurugram",Gurugram,Haryana,Commercial Area
L0027,North Market Complex 27,23.0029,72.5575,"251, Airport Road, Ahmedabad",Ahmedabad,Gujarat,Restaurant
L0028,East Business Park 28,28.6141,77.3933,"524, College Road, Noida",Noida,Uttar Pradesh,Office
L0029,North Transit Hub 29,28.5682,77.2869,"66, Lake View Road, Noida",Noida,Uttar Pradesh,Crime Scene
L0030,West Market Complex 30,28.5955,77.1533,"98, College Road, Gurugram",Gurugram,Haryana,Cyber Activity Location
L0031,North Business Park 31,10.964,76.8116,"970, Lake View Road, Coimbatore",Coimbatore,Tamil Nadu,Cyber Activity Location
L0032,Central Market Complex 32,22.9443,72.4937,"611, Market Road, Ahmedabad",Ahmedabad,Gujarat,Road
L0033,South Transit Hub 33,20.0671,73.8846,"238, Nehru Nagar, Nashik",Nashik,Maharashtra,Crime Scene
L0034,East Office Centre 34,19.1068,72.9707,"496, Park Street, Thane",Thane,Maharashtra,Transport Hub
L0035,North Industrial Estate 35,28.7124,77.1345,"888, Shivaji Nagar, Delhi",Delhi,Delhi,Warehouse
L0036,North Transit Hub 36,17.4489,78.4564,"338, MG Road, Hyderabad",Hyderabad,Telangana,Hotel
L0037,Central Office Centre 37,22.6925,88.3493,"762, Lake View Road, Kolkata",Kolkata,West Bengal,Warehouse
L0038,West Transit Hub 38,19.9489,73.8163,"173, Shivaji Nagar, Nashik",Nashik,Maharashtra,Warehouse
L0039,South Market Complex 39,12.9349,80.3331,"741, Nehru Nagar, Chennai",Chennai,Tamil Nadu,Residence
L0040,North Industrial Estate 40,20.1191,73.8977,"802, Lake View Road, Nashik",Nashik,Maharashtra,Office
L0041,West Transit Hub 41,13.0162,80.2663,"972, Airport Road, Chennai",Chennai,Tamil Nadu,Transport Hub
L0042,West Market Complex 42,9.9541,76.1902,"86, Nehru Nagar, Kochi",Kochi,Kerala,Parking Area
L0043,North Market Complex 43,17.2633,78.5344,"873, Shivaji Nagar, Hyderabad",Hyderabad,Telangana,Commercial Area
L0044,Central Business Park 44,23.25,77.4813,"200, Nehru Nagar, Bhopal",Bhopal,Madhya Pradesh,Hotel
L0045,East Industrial Estate 45,18.4912,73.8085,"125, Station Road, Pune",Pune,Maharashtra,Storage Facility
L0046,West Business Park 46,12.9902,80.2816,"133, Lake View Road, Chennai",Chennai,Tamil Nadu,Meeting Point
L0047,West Market Complex 47,12.9052,77.5195,"886, Shivaji Nagar, Bengaluru",Bengaluru,Karnataka,Cyber Activity Location
L0048,East Office Centre 48,22.665,88.4707,"348, Nehru Nagar, Kolkata",Kolkata,West Bengal,Office
L0049,East Business Park 49,28.5603,77.1673,"40, Park Street, Gurugram",Gurugram,Haryana,Cyber Activity Location
L0050,Central Office Centre 50,12.9435,77.589,"58, Park Street, Bengaluru",Bengaluru,Karnataka,Storage Facility
L0051,East Market Complex 51,18.4198,73.7073,"940, Nehru Nagar, Pune",Pune,Maharashtra,Industrial Area
L0052,North Office Centre 52,22.5082,88.4229,"36, Park Street, Kolkata",Kolkata,West Bengal,Restaurant
L0053,South Office Centre 53,26.7431,80.8852,"9, Ring Road, Lucknow",Lucknow,Uttar Pradesh,Residence
L0054,East Market Complex 54,28.3278,76.9707,"715, Ring Road, Gurugram",Gurugram,Haryana,Residence
L0055,North Business Park 55,26.8476,81.052,"475, Airport Road, Lucknow",Lucknow,Uttar Pradesh,Meeting Point
L0056,East Office Centre 56,28.4095,77.2967,"880, Market Road, Noida",Noida,Uttar Pradesh,Road
L0057,Central Office Centre 57,13.0538,80.4032,"866, Market Road, Chennai",Chennai,Tamil Nadu,Road
L0058,South Business Park 58,9.9596,76.3031,"422, MG Road, Kochi",Kochi,Kerala,Industrial Area
L0059,Central Office Centre 59,9.938,76.3977,"788, Nehru Nagar, Kochi",Kochi,Kerala,Warehouse
L0060,East Office Centre 60,13.0124,80.16,"684, Lake View Road, Chennai",Chennai,Tamil Nadu,Hotel
L0061,Central Industrial Estate 61,22.5175,88.4395,"225, MG Road, Kolkata",Kolkata,West Bengal,Office
L0062,South Office Centre 62,22.6089,88.3828,"46, College Road, Kolkata",Kolkata,West Bengal,Office
L0063,North Business Park 63,28.3734,76.9562,"104, Nehru Nagar, Gurugram",Gurugram,Haryana,Cyber Activity Location
L0064,North Market Complex 64,20.1113,73.7507,"688, Ring Road, Nashik",Nashik,Maharashtra,Meeting Point
L0065,West Business Park 65,28.5206,77.0601,"184, Nehru Nagar, Gurugram",Gurugram,Haryana,Crime Scene
L0066,East Business Park 66,19.1264,72.8941,"168, College Road, Mumbai",Mumbai,Maharashtra,Cyber Activity Location
L0067,West Market Complex 67,19.1476,73.095,"987, Station Road, Thane",Thane,Maharashtra,Restaurant
L0068,North Industrial Estate 68,19.15,73.0095,"277, Nehru Nagar, Thane",Thane,Maharashtra,Restaurant
L0069,South Business Park 69,17.4412,78.5926,"246, Airport Road, Hyderabad",Hyderabad,Telangana,Transport Hub
L0070,South Transit Hub 70,28.8257,77.2063,"336, Ring Road, Delhi",Delhi,Delhi,Office
L0071,Central Office Centre 71,28.5673,77.0526,"937, Park Street, Delhi",Delhi,Delhi,Meeting Point
L0072,North Business Park 72,13.044,77.6101,"127, Park Street, Bengaluru",Bengaluru,Karnataka,Industrial Area
L0073,West Market Complex 73,18.9596,73.0112,"349, Shivaji Nagar, Mumbai",Mumbai,Maharashtra,Restaurant
L0074,West Industrial Estate 74,28.3203,76.9874,"487, Nehru Nagar, Gurugram",Gurugram,Haryana,Transport Hub
L0075,Central Market Complex 75,23.1481,77.3551,"383, Market Road, Bhopal",Bhopal,Madhya Pradesh,Cyber Activity Location
L0076,East Business Park 76,26.8254,75.7122,"601, Nehru Nagar, Jaipur",Jaipur,Rajasthan,Office
L0077,West Office Centre 77,28.5747,76.9985,"639, Ring Road, Gurugram",Gurugram,Haryana,Road
L0078,West Industrial Estate 78,13.1921,80.4136,"632, Lake View Road, Chennai",Chennai,Tamil Nadu,Crime Scene
L0079,East Office Centre 79,23.1173,77.4836,"871, MG Road, Bhopal",Bhopal,Madhya Pradesh,Commercial Area
L0080,South Market Complex 80,13.0127,80.3569,"602, Market Road, Chennai",Chennai,Tamil Nadu,Office
L0081,East Market Complex 81,18.628,73.7734,"499, Lake View Road, Pune",Pune,Maharashtra,Storage Facility
L0082,Central Market Complex 82,26.854,75.8759,"39, Park Street, Jaipur",Jaipur,Rajasthan,Warehouse
L0083,East Industrial Estate 83,19.124,72.8472,"966, Shivaji Nagar, Mumbai",Mumbai,Maharashtra,Bank
L0084,North Industrial Estate 84,28.6594,77.1053,"351, Ring Road, Delhi",Delhi,Delhi,Hotel
L0085,East Transit Hub 85,21.302,72.7157,"656, Ring Road, Surat",Surat,Gujarat,Bank
L0086,West Industrial Estate 86,10.07,76.1969,"88, Market Road, Kochi",Kochi,Kerala,Office
L0087,South Industrial Estate 87,23.2136,77.4985,"526, Shivaji Nagar, Bhopal",Bhopal,Madhya Pradesh,Industrial Area
L0088,Central Industrial Estate 88,28.4202,77.5109,"120, Park Street, Noida",Noida,Uttar Pradesh,Warehouse
L0089,East Transit Hub 89,18.583,73.7072,"123, Ring Road, Pune",Pune,Maharashtra,Cyber Activity Location
L0090,Central Industrial Estate 90,17.3443,78.3577,"522, Lake View Road, Hyderabad",Hyderabad,Telangana,Hotel
L0091,East Market Complex 91,10.961,77.0602,"870, Shivaji Nagar, Coimbatore",Coimbatore,Tamil Nadu,Restaurant
L0092,East Business Park 92,28.4783,77.3635,"451, Market Road, Noida",Noida,Uttar Pradesh,Industrial Area
L0093,West Industrial Estate 93,28.3477,77.0027,"824, Nehru Nagar, Gurugram",Gurugram,Haryana,Industrial Area
L0094,South Market Complex 94,11.0375,76.9276,"629, Nehru Nagar, Coimbatore",Coimbatore,Tamil Nadu,Storage Facility
L0095,South Office Centre 95,22.9586,72.5504,"466, Airport Road, Ahmedabad",Ahmedabad,Gujarat,Road
L0096,East Office Centre 96,21.1597,72.8137,"756, Lake View Road, Surat",Surat,Gujarat,Warehouse
L0097,Central Office Centre 97,26.9348,81.0841,"887, Station Road, Lucknow",Lucknow,Uttar Pradesh,Restaurant
L0098,East Business Park 98,19.9326,73.839,"521, College Road, Nashik",Nashik,Maharashtra,Road
L0099,North Market Complex 99,20.093,73.8651,"546, Station Road, Nashik",Nashik,Maharashtra,Hotel
L0100,Central Industrial Estate 100,13.1747,80.1649,"347, Shivaji Nagar, Chennai",Chennai,Tamil Nadu,Residence
L0101,West Industrial Estate 101,26.8801,81.0267,"698, MG Road, Lucknow",Lucknow,Uttar Pradesh,Parking Area
L0102,North Transit Hub 102,9.8395,76.3262,"34, Park Street, Kochi",Kochi,Kerala,Parking Area
L0103,West Industrial Estate 103,12.977,80.327,"980, MG Road, Chennai",Chennai,Tamil Nadu,Cyber Activity Location
L0104,West Transit Hub 104,23.1756,77.5038,"729, College Road, Bhopal",Bhopal,Madhya Pradesh,Restaurant
L0105,Central Business Park 105,22.4377,88.2887,"87, Market Road, Kolkata",Kolkata,West Bengal,Storage Facility
L0106,South Transit Hub 106,22.4626,88.3533,"598, Lake View Road, Kolkata",Kolkata,West Bengal,Transport Hub
L0107,South Transit Hub 107,10.962,77.0324,"187, Shivaji Nagar, Coimbatore",Coimbatore,Tamil Nadu,Parking Area
L0108,South Transit Hub 108,28.5135,77.5131,"378, Shivaji Nagar, Noida",Noida,Uttar Pradesh,Parking Area
L0109,East Office Centre 109,26.8317,81.0217,"664, MG Road, Lucknow",Lucknow,Uttar Pradesh,Storage Facility
L0110,Central Transit Hub 110,28.5309,77.3128,"813, Shivaji Nagar, Noida",Noida,Uttar Pradesh,Parking Area
L0111,South Business Park 111,22.9428,72.5222,"887, Nehru Nagar, Ahmedabad",Ahmedabad,Gujarat,Cyber Activity Location
L0112,East Transit Hub 112,19.889,73.7092,"392, Airport Road, Nashik",Nashik,Maharashtra,Restaurant
L0113,East Industrial Estate 113,17.2543,78.459,"923, College Road, Hyderabad",Hyderabad,Telangana,Transport Hub
L0114,East Market Complex 114,23.1286,77.5125,"51, Shivaji Nagar, Bhopal",Bhopal,Madhya Pradesh,Industrial Area
L0115,South Market Complex 115,19.183,72.9574,"201, Lake View Road, Mumbai",Mumbai,Maharashtra,Industrial Area
L0116,South Market Complex 116,19.2088,72.8173,"284, Lake View Road, Mumbai",Mumbai,Maharashtra,Industrial Area
