case_id,crime_id,crime_type,crime_category,ipc_sections,bns_sections,severity,incident_date,incident_time,reported_date,state,district,police_station,case_status,description,synthetic_flag
CASE-000001,MURDER,MURDER,Violent Crime,,,CRITICAL,2023-01-07,03:48,2023-01-07,Karnataka,District-35,PS-19,Charge-sheeted,Synthetic investigation scenario,true
CASE-000002,RAPE,RAPE,Sexual Crime,,,CRITICAL,2023-08-19,11:17,2023-08-21,Maharashtra,District-14,PS-16,Open,Synthetic investigation scenario,true
CASE-000003,KIDNAPPING,KIDNAPPING,Kidnapping/Abduction,,,CRITICAL,2023-11-03,11:21,2023-11-04,Gujarat,District-38,PS-20,Charge-sheeted,Synthetic investigation scenario,true
CASE-000004,HUMAN_TRAFFICKING,HUMAN_TRAFFICKING,Trafficking,,,CRITICAL,2023-02-12,22:25,2023-02-14,West Bengal,District-33,PS-12,Under Investigation,Synthetic investigation scenario,true
CASE-000005,NARCOTICS_TRAFFICKING,NARCOTICS_TRAFFICKING,Narcotics,,,CRITICAL,2023-09-26,11:53,2023-09-27,West Bengal,District-23,PS-14,Open,Synthetic investigation scenario,true
CASE-000006,ROBBERY,ROBBERY,Property/Violent Crime,,,HIGH,2023-12-16,13:11,2023-12-16,Rajasthan,District-30,PS-08,Charge-sheeted,Synthetic investigation scenario,true
CASE-000007,DACOITY,DACOITY,Property/Violent Crime,,,CRITICAL,2023-07-16,23:58,2023-07-18,Tamil Nadu,District-38,PS-16,Charge-sheeted,Synthetic investigation scenario,true
CASE-000008,CYBERCRIME,CYBERCRIME,Cybercrime,,,HIGH,2023-11-12,12:26,2023-11-14,Karnataka,District-08,PS-13,Charge-sheeted,Synthetic investigation scenario,true
CASE-000009,FINANCIAL_FRAUD,FINANCIAL_FRAUD,Financial Crime,,,HIGH,2023-01-07,20:09,2023-01-08,Karnataka,District-24,PS-03,Closed,Synthetic investigation scenario,true
CASE-000010,ATTEMPTED_RAPE,ATTEMPTED_RAPE,Sexual Crime,,,CRITICAL,2023-05-22,14:50,2023-05-23,Uttar Pradesh,District-23,PS-21,Open,Synthetic investigation scenario,true
CASE-000011,CYBERCRIME,CYBERCRIME,Cybercrime,,,HIGH,2023-03-03,09:51,2023-03-05,Delhi,District-29,PS-03,Open,Synthetic investigation scenario,true
CASE-000012,DACOITY,DACOITY,Property/Violent Crime,,,CRITICAL,2023-04-06,07:49,2023-04-07,Uttar Pradesh,District-19,PS-05,Open,Synthetic investigation scenario,true
CASE-000013,KIDNAPPING,KIDNAPPING,Kidnapping/Abduction,,,CRITICAL,2023-07-25,03:08,2023-07-25,Kerala,District-08,PS-22,Closed,Synthetic investigation scenario,true
CASE-000014,THEFT,THEFT,Property Crime,,,MEDIUM,2023-09-24,21:22,2023-09-25,Tamil Nadu,District-05,PS-22,Under Investigation,Synthetic investigation scenario,true
CASE-000015,CRUELTY_BY_HUSBAND_OR_RELATIVES,CRUELTY_BY_HUSBAND_OR_RELATIVES,Crime Against Women,,,HIGH,2023-03-10,05:07,2023-03-11,Delhi,District-37,PS-10,Closed,Synthetic investigation scenario,true
CASE-000016,OTHER_SPECIAL_LOCAL_LAWS,OTHER_SPECIAL_LOCAL_LAWS,Special/Local Law,,,MEDIUM,2023-10-23,14:01,2023-10-23,Gujarat,District-37,PS-14,Under Investigation,Synthetic investigation scenario,true
CASE-000017,ROBBERY,ROBBERY,Property/Violent Crime,,,HIGH,2023-02-15,03:18,2023-02-16,Kerala,District-29,PS-23,Charge-sheeted,Synthetic investigation scenario,true
CASE-000018,HUMAN_TRAFFICKING,HUMAN_TRAFFICKING,Trafficking,,,CRITICAL,2023-11-13,01:57,2023-11-14,Gujarat,District-34,PS-17,Closed,Synthetic investigation scenario,true
CASE-000019,VEHICLE_THEFT,VEHICLE_THEFT,Property Crime,,,MEDIUM,2023-01-27,10:26,2023-01-27,Maharashtra,District-40,PS-14,Charge-sheeted,Synthetic investigation scenario,true
CASE-000020,EXTORTION,EXTORTION,Organized/Financial Crime,,,HIGH,2023-11-09,17:04,2023-11-10,Rajasthan,District-38,PS-04,Charge-sheeted,Synthetic investigation scenario,true
CASE-000021,VEHICLE_THEFT,VEHICLE_THEFT,Property Crime,,,MEDIUM,2023-09-16,22:02,2023-09-17,Kerala,District-22,PS-17,Under Investigation,Synthetic investigation scenario,true
CASE-000022,FORGERY,FORGERY,Financial Crime,,,MEDIUM,2023-10-29,21:13,2023-10-30,Kerala,District-40,PS-01,Open,Synthetic investigation scenario,true
CASE-000023,VEHICLE_THEFT,VEHICLE_THEFT,Property Crime,,,MEDIUM,2023-02-23,03:00,2023-02-24,Maharashtra,District-37,PS-15,Closed,Synthetic investigation scenario,true
