case_id,case_number,title,case_type,status,description,created_date,incident_date,location_id,priority
C0001,CASE-2024-0001,Investigation into Identity Fraud Activities in Lucknow,Identity Fraud,Under Investigation,"investigation into suspected identity fraud activity centered around Lucknow, Uttar Pradesh, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-05-07,2024-05-06,L0325,Medium
C0002,CASE-2024-0002,Organized Fraud Case Linked to Thane Region,Organized Fraud,Under Investigation,"investigation into suspected organized fraud activity centered around Thane, Maharashtra, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-08-15,2024-08-11,L0159,Medium
C0003,CASE-2024-0003,Organized Fraud Case Linked to Bengaluru Region,Organized Fraud,Pending Review,"investigation into suspected organized fraud activity centered around Bengaluru, Karnataka, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-09-23,2024-09-22,L0599,High
C0004,CASE-2024-0004,Nashik Banking Fraud Case,Banking Fraud,Pending Review,"This case tracks a suspected banking fraud matter reported in Nashik, Maharashtra. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2024-08-13,2024-08-10,L0399,Critical
C0005,CASE-2024-0005,Thane-based Payment Fraud Inquiry,Payment Fraud,Closed,"A demonstration investigation record covering a payment fraud incident in Thane, Maharashtra, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-08-21,2024-08-20,L0480,Low
C0006,CASE-2024-0006,Large Organized Crime Network Investigation - Kochi Sector,Large Organized Crime Network,Pending Review,"investigation into suspected large organized crime network activity centered around Kochi, Kerala, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-03-13,2024-03-12,L0141,High
C0007,CASE-2024-0007,Individual Cyber Fraud Case Linked to Noida Region,Individual Cyber Fraud,Open,"record of a individual cyber fraud case based in Noida, Uttar Pradesh, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-03-07,2024-03-06,L0029,Medium
C0008,CASE-2024-0008,Kidnapping Case Linked to Noida Region,Kidnapping,Pending Review,"record of a kidnapping case based in Noida, Uttar Pradesh, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-05-01,2024-05-01,L0025,High
C0009,CASE-2024-0009,Bhopal-based Payment Fraud Inquiry,Payment Fraud,Closed,"record of a payment fraud case based in Bhopal, Madhya Pradesh, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-06-22,2024-06-19,L0237,Critical
C0010,CASE-2024-0010,Logistics Fraud Network Probe - Lucknow,Logistics Fraud,Open,"Case file documenting a logistics fraud investigation originating in Lucknow, Uttar Pradesh, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-01-28,2024-01-26,L0294,Medium
C0011,CASE-2024-0011,Ahmedabad-based Murder Investigation Inquiry,Murder Investigation,Closed,"investigation into suspected murder investigation activity centered around Ahmedabad, Gujarat, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-07-14,2024-07-11,L0594,Medium
C0012,CASE-2024-0012,Insurance Fraud Network Probe - Noida,Insurance Fraud,Under Investigation,"Case file documenting a insurance fraud investigation originating in Noida, Uttar Pradesh, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-01-11,2024-01-08,L0398,High
C0013,CASE-2024-0013,Simple Robbery Case Linked to Thane Region,Simple Robbery,Closed,"Case file documenting a simple robbery investigation originating in Thane, Maharashtra, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-03-18,2024-03-13,L0395,Low
C0014,CASE-2024-0014,Large Organized Crime Network Case Linked to Delhi Region,Large Organized Crime Network,Pending Review,"Case file documenting a large organized crime network investigation originating in Delhi, Delhi, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-02-12,2024-02-11,L0124,High
C0015,CASE-2024-0015,Property Fraud Case Linked to Gurugram Region,Property Fraud,Closed,"A demonstration investigation record covering a property fraud incident in Gurugram, Haryana, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-07-26,2024-07-23,L0427,Critical
C0016,CASE-2024-0016,Financial Crime Investigation Case Linked to Nagpur Region,Financial Crime Investigation,Under Investigation,"Case file documenting a financial crime investigation investigation originating in Nagpur, Maharashtra, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-08-27,2024-08-24,L0230,Medium
C0017,CASE-2024-0017,Burglary Investigation - Coimbatore Sector,Burglary,Pending Review,"investigation into suspected burglary activity centered around Coimbatore, Tamil Nadu, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-02-24,2024-02-23,L0161,Critical
C0018,CASE-2024-0018,Procurement Fraud Network Probe - Coimbatore,Procurement Fraud,Open,"investigation into suspected procurement fraud activity centered around Coimbatore, Tamil Nadu, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-03-22,2024-03-22,L0545,Medium
C0019,CASE-2024-0019,Theft Case Linked to Indore Region,Theft,Closed,"investigation into suspected theft activity centered around Indore, Madhya Pradesh, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-02-19,2024-02-15,L0204,Medium
C0020,CASE-2024-0020,Money Laundering Investigation Ring Operating from Lucknow,Money Laundering Investigation,Under Investigation,"record of a money laundering investigation case based in Lucknow, Uttar Pradesh, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-03-26,2024-03-26,L0435,Critical
C0021,CASE-2024-0021,Pune-based Vehicle Theft Inquiry,Vehicle Theft,Under Investigation,"investigation into suspected vehicle theft activity centered around Pune, Maharashtra, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-06-11,2024-06-07,L0243,Medium
C0022,CASE-2024-0022,Vehicle Theft Network Probe - Mumbai,Vehicle Theft,Closed,"Case file documenting a vehicle theft investigation originating in Mumbai, Maharashtra, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-06-11,2024-06-11,L0495,High
C0023,CASE-2024-0023,Payment Fraud Case Linked to Hyderabad Region,Payment Fraud,Open,"A demonstration investigation record covering a payment fraud incident in Hyderabad, Telangana, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-06-15,2024-06-15,L0574,High
C0024,CASE-2024-0024,Kochi Kidnapping Case,Kidnapping,Closed,"Case file documenting a kidnapping investigation originating in Kochi, Kerala, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-12-25,2024-12-23,L0285,Medium
C0025,CASE-2024-0025,Assault Case Linked to Mumbai Region,Assault,Pending Review,"investigation into suspected assault activity centered around Mumbai, Maharashtra, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-09-26,2024-09-25,L0525,High
C0026,CASE-2024-0026,Individual Cyber Fraud Ring Operating from Surat,Individual Cyber Fraud,Closed,"record of a individual cyber fraud case based in Surat, Gujarat, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-05-04,2024-04-30,L0352,High
C0027,CASE-2024-0027,Unauthorized Access Ring Operating from Kolkata,Unauthorized Access,Pending Review,"A demonstration investigation record covering a unauthorized access incident in Kolkata, West Bengal, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-01-26,2024-01-22,L0590,High
C0028,CASE-2024-0028,Minor Fraud Investigation - Kolkata Sector,Minor Fraud,Pending Review,"Case file documenting a minor fraud investigation originating in Kolkata, West Bengal, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-08-24,2024-08-24,L0356,Medium
C0029,CASE-2024-0029,Large Financial Crime Network Investigation - Chennai Sector,Large Financial Crime Network,Closed,"A demonstration investigation record covering a large financial crime network incident in Chennai, Tamil Nadu, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-11-23,2024-11-20,L0187,High
C0030,CASE-2024-0030,Nashik Individual Cyber Fraud Case,Individual Cyber Fraud,Closed,"Case file documenting a individual cyber fraud investigation originating in Nashik, Maharashtra, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-02-18,2024-02-13,L0313,Low
C0031,CASE-2024-0031,Hyderabad-based Money Laundering Investigation Inquiry,Money Laundering Investigation,Under Investigation,"This case tracks a suspected money laundering investigation matter reported in Hyderabad, Telangana. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2024-08-13,2024-08-11,L0347,Critical
C0032,CASE-2024-0032,Hyderabad Unauthorized Access Case,Unauthorized Access,Under Investigation,"This case tracks a suspected unauthorized access matter reported in Hyderabad, Telangana. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2024-09-03,2024-08-29,L0164,High
C0033,CASE-2024-0033,Vehicle Theft Investigation - Coimbatore Sector,Vehicle Theft,Open,"Case file documenting a vehicle theft investigation originating in Coimbatore, Tamil Nadu, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-01-01,2024-12-31,L0559,Low
C0034,CASE-2024-0034,Investigation into Theft Activities in Gurugram,Theft,Closed,"record of a theft case based in Gurugram, Haryana, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-02-16,2024-02-13,L0247,Medium
C0035,CASE-2024-0035,Procurement Fraud Case Linked to Bengaluru Region,Procurement Fraud,Pending Review,"This case tracks a suspected procurement fraud matter reported in Bengaluru, Karnataka. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2024-06-10,2024-06-08,L0013,Medium
C0036,CASE-2024-0036,Investigation into Document Fraud Activities in Bhopal,Document Fraud,Open,"This case tracks a suspected document fraud matter reported in Bhopal, Madhya Pradesh. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2024-05-09,2024-05-05,L0288,Medium
C0037,CASE-2024-0037,Noida Vehicle Theft Network Case,Vehicle Theft Network,Open,"Case file documenting a vehicle theft network investigation originating in Noida, Uttar Pradesh, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-04-19,2024-04-17,L0591,Low
C0038,CASE-2024-0038,Vehicle Theft Network Network Probe - Surat,Vehicle Theft Network,Closed,"This case tracks a suspected vehicle theft network matter reported in Surat, Gujarat. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2024-01-10,2024-01-06,L0355,Medium
C0039,CASE-2024-0039,Coimbatore Vehicle Theft Case,Vehicle Theft,Under Investigation,"Case file documenting a vehicle theft investigation originating in Coimbatore, Tamil Nadu, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-12-20,2024-12-18,L0302,High
