location_id,location_type,state,district,city,area,latitude,longitude,address_label,synthetic_flag
LOC-000001,Road,Karnataka,District-35,City-13,Area-138,21.927644,82.513227,Synthetic Location 1,true
LOC-000002,Digital,Karnataka,District-35,City-21,Area-102,20.15176,89.897232,Synthetic Location 2,true
LOC-000003,Public,Karnataka,District-35,City-16,Area-087,28.787071,84.652134,Synthetic Location 3,true
LOC-000004,Hotel,Maharashtra,District-14,City-29,Area-120,20.447829,88.664171,Synthetic Location 4,true
LOC-000005,Hotel,Maharashtra,District-14,City-01,Area-035,27.499032,76.399138,Synthetic Location 5,true
LOC-000006,Residence,Gujarat,District-38,City-21,Area-072,17.514384,75.360607,Synthetic Location 6,true
LOC-000007,Hotel,Gujarat,District-38,City-11,Area-057,17.841348,94.708663,Synthetic Location 7,true
LOC-000008,Warehouse,West Bengal,District-33,City-28,Area-031,21.264779,96.053232,Synthetic Location 8,true
LOC-000009,Digital,West Bengal,District-33,City-16,Area-028,15.975838,95.560558,Synthetic Location 9,true
LOC-000010,Financial,West Bengal,District-23,City-30,Area-037,16.624092,82.719277,Synthetic Location 10,true
LOC-000011,Public,West Bengal,District-23,City-25,Area-089,22.368371,85.166761,Synthetic Location 11,true
LOC-000012,Residence,West Bengal,District-23,City-26,Area-037,12.693416,69.089063,Synthetic Location 12,true
LOC-000013,Hotel,West Bengal,District-23,City-01,Area-001,11.058595,74.231157,Synthetic Location 13,true
LOC-000014,Road,Rajasthan,District-30,City-20,Area-042,15.603725,91.48345,Synthetic Location 14,true
LOC-000015,Financial,Rajasthan,District-30,City-20,Area-129,23.563165,82.393862,Synthetic Location 15,true
LOC-000016,Warehouse,Rajasthan,District-30,City-20,Area-027,32.159607,88.905071,Synthetic Location 16,true
LOC-000017,Digital,Rajasthan,District-30,City-24,Area-010,16.343132,71.541305,Synthetic Location 17,true
LOC-000018,Transit,Tamil Nadu,District-38,City-27,Area-146,28.04577,96.42411,Synthetic Location 18,true
LOC-000019,Digital,Tamil Nadu,District-38,City-22,Area-085,9.551897,91.162963,Synthetic Location 19,true
LOC-000020,Warehouse,Tamil Nadu,District-38,City-24,Area-076,31.406199,77.077617,Synthetic Location 20,true
LOC-000021,Digital,Karnataka,District-08,City-17,Area-066,15.101491,75.774046,Synthetic Location 21,true
LOC-000022,Office,Karnataka,District-08,City-12,Area-030,20.459843,93.181077,Synthetic Location 22,true
LOC-000023,Financial,Karnataka,District-08,City-25,Area-066,26.683019,71.063261,Synthetic Location 23,true
LOC-000024,Residence,Karnataka,District-08,City-10,Area-063,11.890378,95.24045,Synthetic Location 24,true
LOC-000025,Commercial,Karnataka,District-24,City-11,Area-037,31.616514,81.513929,Synthetic Location 25,true
LOC-000026,Commercial,Karnataka,District-24,City-22,Area-102,21.963783,87.057369,Synthetic Location 26,true
LOC-000027,Public,Uttar Pradesh,District-23,City-09,Area-099,27.563899,95.995886,Synthetic Location 27,true
LOC-000028,Transit,Uttar Pradesh,District-23,City-20,Area-150,17.97839,84.988954,Synthetic Location 28,true
LOC-000029,Public,Uttar Pradesh,District-23,City-07,Area-146,12.213675,70.57304,Synthetic Location 29,true
LOC-000030,Office,Uttar Pradesh,District-23,City-17,Area-093,15.617278,96.76084,Synthetic Location 30,true
LOC-000031,Hotel,Delhi,District-29,City-03,Area-006,19.856278,79.571202,Synthetic Location 31,true
LOC-000032,Office,Delhi,District-29,City-26,Area-130,14.183972,96.205878,Synthetic Location 32,true
LOC-000033,Financial,Delhi,District-29,City-30,Area-039,26.472467,87.314546,Synthetic Location 33,true
LOC-000034,Road,Delhi,District-29,City-16,Area-011,23.025707,82.619993,Synthetic Location 34,true
LOC-000035,Digital,Uttar Pradesh,District-19,City-03,Area-100,28.7776,79.622879,Synthetic Location 35,true
LOC-000036,Commercial,Uttar Pradesh,District-19,City-17,Area-005,12.725277,89.579418,Synthetic Location 36,true
LOC-000037,Commercial,Uttar Pradesh,District-19,City-06,Area-115,9.48459,94.826251,Synthetic Location 37,true
LOC-000038,Transit,Uttar Pradesh,District-19,City-12,Area-086,32.356879,83.724789,Synthetic Location 38,true
LOC-000039,Commercial,Kerala,District-08,City-11,Area-009,26.322669,86.076648,Synthetic Location 39,true
